index,ori_filename,adv_filename,ori_recorded_label,adv_recorded_label,ori_fresh_pred,adv_fresh_pred,ori_matches_recorded,adversarial_accuracy,still_fooled_on_reload
0,ori_0_IMAGENET_3599_resnet50.png,adv_0_IMAGENET_3599_resnet50.png,487,761,487,487,True,False,False
1,ori_1_IMAGENET_3599_resnet50.png,adv_1_IMAGENET_3599_resnet50.png,646,506,646,646,True,False,False
2,ori_2_IMAGENET_3599_resnet50.png,adv_2_IMAGENET_3599_resnet50.png,664,851,851,851,False,True,True
3,ori_3_IMAGENET_3599_resnet50.png,adv_3_IMAGENET_3599_resnet50.png,771,549,771,549,True,True,True
4,ori_4_IMAGENET_3599_resnet50.png,adv_4_IMAGENET_3599_resnet50.png,590,800,590,590,True,False,False
5,ori_5_IMAGENET_3599_resnet50.png,adv_5_IMAGENET_3599_resnet50.png,763,740,763,763,True,False,False
6,ori_6_IMAGENET_3599_resnet50.png,adv_6_IMAGENET_3599_resnet50.png,646,703,646,646,True,False,False
7,ori_7_IMAGENET_3599_resnet50.png,adv_7_IMAGENET_3599_resnet50.png,666,659,666,666,True,False,False
8,ori_8_IMAGENET_3599_resnet50.png,adv_8_IMAGENET_3599_resnet50.png,867,864,867,864,True,True,True
9,ori_9_IMAGENET_3599_resnet50.png,adv_9_IMAGENET_3599_resnet50.png,771,707,771,707,True,True,True
10,ori_10_IMAGENET_3599_resnet50.png,adv_10_IMAGENET_3599_resnet50.png,787,819,819,819,False,True,True
11,ori_11_IMAGENET_3599_resnet50.png,adv_11_IMAGENET_3599_resnet50.png,764,862,862,862,False,True,True
12,ori_12_IMAGENET_3599_resnet50.png,adv_12_IMAGENET_3599_resnet50.png,487,761,487,761,True,True,True
13,ori_13_IMAGENET_3599_resnet50.png,adv_13_IMAGENET_3599_resnet50.png,695,507,507,695,False,False,False
14,ori_14_IMAGENET_3599_resnet50.png,adv_14_IMAGENET_3599_resnet50.png,413,652,413,652,True,True,True
15,ori_15_IMAGENET_3599_resnet50.png,adv_15_IMAGENET_3599_resnet50.png,821,442,821,821,True,False,False
16,ori_16_IMAGENET_3599_resnet50.png,adv_16_IMAGENET_3599_resnet50.png,761,778,761,761,True,False,False
17,ori_17_IMAGENET_3599_resnet50.png,adv_17_IMAGENET_3599_resnet50.png,403,724,403,403,True,False,False
18,ori_18_IMAGENET_3599_resnet50.png,adv_18_IMAGENET_3599_resnet50.png,826,531,826,531,True,True,True
19,ori_19_IMAGENET_3599_resnet50.png,adv_19_IMAGENET_3599_resnet50.png,888,718,718,718,False,True,True
20,ori_20_IMAGENET_3599_resnet50.png,adv_20_IMAGENET_3599_resnet50.png,465,613,465,465,True,False,False
21,ori_21_IMAGENET_3599_resnet50.png,adv_21_IMAGENET_3599_resnet50.png,895,744,744,744,False,True,True
22,ori_22_IMAGENET_3599_resnet50.png,adv_22_IMAGENET_3599_resnet50.png,471,730,471,471,True,False,False
23,ori_23_IMAGENET_3599_resnet50.png,adv_23_IMAGENET_3599_resnet50.png,510,645,510,510,True,False,False
24,ori_24_IMAGENET_3599_resnet50.png,adv_24_IMAGENET_3599_resnet50.png,734,569,734,734,True,False,False
25,ori_25_IMAGENET_3599_resnet50.png,adv_25_IMAGENET_3599_resnet50.png,414,797,414,414,True,False,False
26,ori_26_IMAGENET_3599_resnet50.png,adv_26_IMAGENET_3599_resnet50.png,744,657,657,657,False,True,True
27,ori_27_IMAGENET_3599_resnet50.png,adv_27_IMAGENET_3599_resnet50.png,764,889,889,889,False,True,True
28,ori_28_IMAGENET_3599_resnet50.png,adv_28_IMAGENET_3599_resnet50.png,758,473,758,473,True,True,True
29,ori_29_IMAGENET_3599_resnet50.png,adv_29_IMAGENET_3599_resnet50.png,888,971,888,888,True,False,False
30,ori_30_IMAGENET_3599_resnet50.png,adv_30_IMAGENET_3599_resnet50.png,540,645,540,645,True,True,True
31,ori_31_IMAGENET_3599_resnet50.png,adv_31_IMAGENET_3599_resnet50.png,801,973,801,973,True,True,True
32,ori_32_IMAGENET_3599_resnet50.png,adv_32_IMAGENET_3599_resnet50.png,744,657,744,657,True,True,True
33,ori_33_IMAGENET_3599_resnet50.png,adv_33_IMAGENET_3599_resnet50.png,521,926,926,926,False,True,True
34,ori_34_IMAGENET_3599_resnet50.png,adv_34_IMAGENET_3599_resnet50.png,830,865,830,830,True,False,False
35,ori_35_IMAGENET_3599_resnet50.png,adv_35_IMAGENET_3599_resnet50.png,820,603,820,820,True,False,False
36,ori_36_IMAGENET_3599_resnet50.png,adv_36_IMAGENET_3599_resnet50.png,691,485,485,485,False,True,True
37,ori_37_IMAGENET_3599_resnet50.png,adv_37_IMAGENET_3599_resnet50.png,812,540,812,812,True,False,False
38,ori_38_IMAGENET_3599_resnet50.png,adv_38_IMAGENET_3599_resnet50.png,600,517,600,517,True,True,True
39,ori_39_IMAGENET_3599_resnet50.png,adv_39_IMAGENET_3599_resnet50.png,740,845,845,845,False,True,True
40,ori_40_IMAGENET_3599_resnet50.png,adv_40_IMAGENET_3599_resnet50.png,833,758,833,758,True,True,True
41,ori_41_IMAGENET_3599_resnet50.png,adv_41_IMAGENET_3599_resnet50.png,471,856,471,471,True,False,False
42,ori_42_IMAGENET_3599_resnet50.png,adv_42_IMAGENET_3599_resnet50.png,744,657,657,657,False,True,True
43,ori_43_IMAGENET_3599_resnet50.png,adv_43_IMAGENET_3599_resnet50.png,833,510,833,833,True,False,False
44,ori_44_IMAGENET_3599_resnet50.png,adv_44_IMAGENET_3599_resnet50.png,404,865,404,404,True,False,False
45,ori_45_IMAGENET_3599_resnet50.png,adv_45_IMAGENET_3599_resnet50.png,600,611,600,611,True,True,True
46,ori_46_IMAGENET_3599_resnet50.png,adv_46_IMAGENET_3599_resnet50.png,609,803,803,803,False,True,True
47,ori_47_IMAGENET_3599_resnet50.png,adv_47_IMAGENET_3599_resnet50.png,628,536,536,536,False,True,True
48,ori_48_IMAGENET_3599_resnet50.png,adv_48_IMAGENET_3599_resnet50.png,763,473,473,473,False,True,True
49,ori_49_IMAGENET_3599_resnet50.png,adv_49_IMAGENET_3599_resnet50.png,657,812,657,657,True,False,False
50,ori_50_IMAGENET_3599_resnet50.png,adv_50_IMAGENET_3599_resnet50.png,764,886,886,886,False,True,True
51,ori_51_IMAGENET_3599_resnet50.png,adv_51_IMAGENET_3599_resnet50.png,521,828,521,521,True,False,False
52,ori_52_IMAGENET_3599_resnet50.png,adv_52_IMAGENET_3599_resnet50.png,524,461,461,461,False,True,True
53,ori_53_IMAGENET_3599_resnet50.png,adv_53_IMAGENET_3599_resnet50.png,732,478,732,478,True,True,True
54,ori_54_IMAGENET_3599_resnet50.png,adv_54_IMAGENET_3599_resnet50.png,867,864,867,867,True,False,False
55,ori_55_IMAGENET_3599_resnet50.png,adv_55_IMAGENET_3599_resnet50.png,413,889,413,413,True,False,False
56,ori_56_IMAGENET_3599_resnet50.png,adv_56_IMAGENET_3599_resnet50.png,524,461,524,461,True,True,True
57,ori_57_IMAGENET_3599_resnet50.png,adv_57_IMAGENET_3599_resnet50.png,590,754,590,754,True,True,True
58,ori_58_IMAGENET_3599_resnet50.png,adv_58_IMAGENET_3599_resnet50.png,581,971,581,581,True,False,False
59,ori_59_IMAGENET_3599_resnet50.png,adv_59_IMAGENET_3599_resnet50.png,628,832,628,832,True,True,True
60,ori_60_IMAGENET_3599_resnet50.png,adv_60_IMAGENET_3599_resnet50.png,587,902,902,902,False,True,True
61,ori_61_IMAGENET_3599_resnet50.png,adv_61_IMAGENET_3599_resnet50.png,764,413,764,413,True,True,True
62,ori_62_IMAGENET_3599_resnet50.png,adv_62_IMAGENET_3599_resnet50.png,447,978,447,447,True,False,False
63,ori_63_IMAGENET_3599_resnet50.png,adv_63_IMAGENET_3599_resnet50.png,888,705,888,888,True,False,False
64,ori_64_IMAGENET_3599_resnet50.png,adv_64_IMAGENET_3599_resnet50.png,724,780,780,780,False,True,True
65,ori_65_IMAGENET_3599_resnet50.png,adv_65_IMAGENET_3599_resnet50.png,408,847,847,847,False,True,True
66,ori_66_IMAGENET_3599_resnet50.png,adv_66_IMAGENET_3599_resnet50.png,633,721,633,633,True,False,False
67,ori_67_IMAGENET_3599_resnet50.png,adv_67_IMAGENET_3599_resnet50.png,862,645,862,645,True,True,True
68,ori_68_IMAGENET_3599_resnet50.png,adv_68_IMAGENET_3599_resnet50.png,688,800,688,688,True,False,False
69,ori_69_IMAGENET_3599_resnet50.png,adv_69_IMAGENET_3599_resnet50.png,465,615,615,615,False,True,True
70,ori_70_IMAGENET_3599_resnet50.png,adv_70_IMAGENET_3599_resnet50.png,489,387,489,489,True,False,False
71,ori_71_IMAGENET_3599_resnet50.png,adv_71_IMAGENET_3599_resnet50.png,628,832,628,628,True,False,False
72,ori_72_IMAGENET_3599_resnet50.png,adv_72_IMAGENET_3599_resnet50.png,587,696,587,587,True,False,False
73,ori_73_IMAGENET_3599_resnet50.png,adv_73_IMAGENET_3599_resnet50.png,724,780,724,724,True,False,False
74,ori_74_IMAGENET_3599_resnet50.png,adv_74_IMAGENET_3599_resnet50.png,734,468,734,734,True,False,False
75,ori_75_IMAGENET_3599_resnet50.png,adv_75_IMAGENET_3599_resnet50.png,764,877,764,877,True,True,True
76,ori_76_IMAGENET_3599_resnet50.png,adv_76_IMAGENET_3599_resnet50.png,771,800,771,771,True,False,False
77,ori_77_IMAGENET_3599_resnet50.png,adv_77_IMAGENET_3599_resnet50.png,787,892,787,787,True,False,False
78,ori_78_IMAGENET_3599_resnet50.png,adv_78_IMAGENET_3599_resnet50.png,724,611,724,611,True,True,True
79,ori_79_IMAGENET_3599_resnet50.png,adv_79_IMAGENET_3599_resnet50.png,830,652,830,652,True,True,True
80,ori_80_IMAGENET_3599_resnet50.png,adv_80_IMAGENET_3599_resnet50.png,830,450,830,830,True,False,False
81,ori_81_IMAGENET_3599_resnet50.png,adv_81_IMAGENET_3599_resnet50.png,646,509,646,509,True,True,True
82,ori_82_IMAGENET_3599_resnet50.png,adv_82_IMAGENET_3599_resnet50.png,635,577,635,577,True,True,True
83,ori_83_IMAGENET_3599_resnet50.png,adv_83_IMAGENET_3599_resnet50.png,830,450,830,830,True,False,False
84,ori_84_IMAGENET_3599_resnet50.png,adv_84_IMAGENET_3599_resnet50.png,745,732,732,732,False,True,True
85,ori_85_IMAGENET_3599_resnet50.png,adv_85_IMAGENET_3599_resnet50.png,413,523,523,523,False,True,True
86,ori_86_IMAGENET_3599_resnet50.png,adv_86_IMAGENET_3599_resnet50.png,764,623,764,623,True,True,True
87,ori_87_IMAGENET_3599_resnet50.png,adv_87_IMAGENET_3599_resnet50.png,732,0,732,644,True,False,True
88,ori_88_IMAGENET_3599_resnet50.png,adv_88_IMAGENET_3599_resnet50.png,820,536,820,820,True,False,False
89,ori_89_IMAGENET_3599_resnet50.png,adv_89_IMAGENET_3599_resnet50.png,510,839,510,510,True,False,False
90,ori_90_IMAGENET_3599_resnet50.png,adv_90_IMAGENET_3599_resnet50.png,754,485,485,485,False,True,True
91,ori_91_IMAGENET_3599_resnet50.png,adv_91_IMAGENET_3599_resnet50.png,404,701,404,404,True,False,False
92,ori_92_IMAGENET_3599_resnet50.png,adv_92_IMAGENET_3599_resnet50.png,797,949,797,949,True,True,True
93,ori_93_IMAGENET_3599_resnet50.png,adv_93_IMAGENET_3599_resnet50.png,471,695,471,471,True,False,False
94,ori_94_IMAGENET_3599_resnet50.png,adv_94_IMAGENET_3599_resnet50.png,826,563,563,563,False,True,True
95,ori_95_IMAGENET_3599_resnet50.png,adv_95_IMAGENET_3599_resnet50.png,745,598,598,598,False,True,True
96,ori_96_IMAGENET_3599_resnet50.png,adv_96_IMAGENET_3599_resnet50.png,701,723,701,723,True,True,True
97,ori_97_IMAGENET_3599_resnet50.png,adv_97_IMAGENET_3599_resnet50.png,590,487,487,487,False,True,True
98,ori_98_IMAGENET_3599_resnet50.png,adv_98_IMAGENET_3599_resnet50.png,404,908,404,908,True,True,True
99,ori_99_IMAGENET_3599_resnet50.png,adv_99_IMAGENET_3599_resnet50.png,657,744,744,744,False,True,True
