index,filename,asr,l2_distortion,linf_distortion,lpips,queries,ssim,psnr,orig_class,adv_class,total_time_seconds
0,ILSVRC2012_val_00000089.JPEG,True,22.383405685424805,0.7867953181266785,0.14628055691719055,4088,0.85575527,24.777649898207102,487,761,1411.6
1,ILSVRC2012_val_00000118.JPEG,True,15.570276260375977,0.340573787689209,0.06657172739505768,4030,0.9481991,27.930246683743945,646,506,1411.6
2,ILSVRC2012_val_00000119.JPEG,True,3.4269738534931093e-05,5.364418029785156e-07,6.7728267438837975e-09,4101,0.99999976,141.0779572369502,664,851,1411.6
3,ILSVRC2012_val_00000143.JPEG,True,13.029810905456543,0.6941176652908325,0.16690100729465485,4044,0.88727456,29.477410542450837,771,549,1411.6
4,ILSVRC2012_val_00000149.JPEG,True,17.606191635131836,0.43687936663627625,0.19182232022285461,4027,0.7459016,26.862864053829796,590,673,1411.6
5,ILSVRC2012_val_00000158.JPEG,True,14.015466690063477,0.5659128427505493,0.11738590896129608,4201,0.92763335,28.84402094337222,763,758,1411.6
6,ILSVRC2012_val_00000160.JPEG,True,25.191343307495117,0.8448318243026733,0.2456101030111313,4197,0.8574464,23.751146169444905,646,912,1411.6
7,ILSVRC2012_val_00000168.JPEG,True,1.7036819458007812,0.06659221649169922,0.0017408579587936401,4015,0.9944351,47.148402370350475,666,659,1411.6
8,ILSVRC2012_val_00000187.JPEG,True,10.266448974609375,0.29406726360321045,0.06741952896118164,4013,0.8820922,31.54776751177486,867,864,1411.6
9,ILSVRC2012_val_00000194.JPEG,True,8.52756404876709,0.2534777522087097,0.07544077187776566,4028,0.93527436,33.159673184174736,771,707,1411.6
10,ILSVRC2012_val_00000232.JPEG,True,2.1611400370602496e-05,4.172325134277344e-07,4.175330747813177e-09,4181,1.0,145.08251483209,787,819,1411.6
11,ILSVRC2012_val_00000244.JPEG,True,9.223847882822156e-06,3.5762786865234375e-07,2.6339277425790897e-09,4181,1.0,152.47792996078542,764,862,1411.6
12,ILSVRC2012_val_00000257.JPEG,True,8.971800804138184,0.3663654923439026,0.0663079023361206,4044,0.93398094,32.71858073227148,487,761,1411.6
13,ILSVRC2012_val_00000265.JPEG,True,4.1521598177496344e-05,5.364418029785156e-07,6.493062532086924e-09,4181,0.9999983,139.41069183533412,695,507,1411.6
14,ILSVRC2012_val_00000268.JPEG,True,5.5157623291015625,0.1419157087802887,0.018619108945131302,4056,0.9790921,36.94406203712723,413,652,1411.6
15,ILSVRC2012_val_00000271.JPEG,True,7.057018280029297,0.2582900822162628,0.04257100448012352,4045,0.9566035,34.803748023106074,821,442,1411.6
16,ILSVRC2012_val_00000275.JPEG,True,4.122779846191406,0.12490906566381454,0.006016171537339687,4059,0.9716959,39.4723700296752,761,941,1411.6
17,ILSVRC2012_val_00000289.JPEG,True,8.241451263427734,0.30072933435440063,0.06241641193628311,4043,0.94950604,33.45609849564171,403,724,1411.6
18,ILSVRC2012_val_00000290.JPEG,True,1.7032294273376465,0.07095939666032791,0.0008119437843561172,4064,0.99743515,47.150709932830075,826,531,1411.6
19,ILSVRC2012_val_00000296.JPEG,True,4.671530768973753e-05,5.960464477539062e-07,5.3976423330936996e-09,4181,0.9999979,138.38698869106852,888,718,1411.6
20,ILSVRC2012_val_00000366.JPEG,True,9.799725532531738,0.41577428579330444,0.07377800345420837,4014,0.93106556,31.951894967618596,465,440,1411.6
21,ILSVRC2012_val_00000369.JPEG,True,4.1574661736376584e-05,5.364418029785156e-07,4.717162660483609e-09,4181,0.9999973,139.3995984543826,895,744,1411.6
22,ILSVRC2012_val_00000392.JPEG,True,12.591442108154297,0.5620508790016174,0.11891188472509384,4043,0.93633384,29.774663299921826,471,730,1411.6
23,ILSVRC2012_val_00000403.JPEG,True,14.974896430969238,0.3884431719779968,0.0744393914937973,4058,0.92160493,28.26889632375996,510,843,1411.6
24,ILSVRC2012_val_00000452.JPEG,True,12.019736289978027,0.3071782886981964,0.048421602696180344,4059,0.9085743,30.178274171243395,734,569,1411.6
25,ILSVRC2012_val_00000459.JPEG,True,10.546972274780273,0.2619660496711731,0.051741618663072586,4043,0.93109494,31.3136171586442,414,790,1411.6
26,ILSVRC2012_val_00000468.JPEG,True,3.4864464396378025e-05,5.364418029785156e-07,2.8605442459195274e-09,4181,0.9999996,140.9285129530428,744,657,1411.6
27,ILSVRC2012_val_00000469.JPEG,True,3.180272688041441e-05,5.364418029785156e-07,5.765196320339783e-09,4181,1.0,141.72688607135646,764,889,1411.6
28,ILSVRC2012_val_00000473.JPEG,True,0.17529821395874023,0.007327347993850708,8.767816325416788e-06,4057,0.9999771,66.90062316340581,758,473,1411.6
29,ILSVRC2012_val_00000475.JPEG,True,22.56549644470215,0.6953866481781006,0.1449277698993683,4013,0.8852814,24.707275355944937,888,971,1411.6
30,ILSVRC2012_val_00000504.JPEG,True,20.986642837524414,0.6274510025978088,0.12715792655944824,4216,0.88322115,25.33731321790341,540,832,1411.6
31,ILSVRC2012_val_00000508.JPEG,True,2.5203351974487305,0.14622411131858826,0.0033076375257223845,4058,0.99323004,43.74700639895921,801,973,1411.6
32,ILSVRC2012_val_00000515.JPEG,True,1.364255428314209,0.053566306829452515,0.0019042843487113714,4066,0.9979077,49.07825908366651,744,657,1411.6
33,ILSVRC2012_val_00000534.JPEG,True,3.5848137486027554e-05,5.364418029785156e-07,3.517118596363389e-09,4181,0.9999997,140.6868409038439,521,926,1411.6
34,ILSVRC2012_val_00000535.JPEG,True,10.178400993347168,0.313931941986084,0.046115171164274216,4029,0.92566967,31.622582336250712,830,865,1411.6
35,ILSVRC2012_val_00000544.JPEG,True,16.09587287902832,0.7035927772521973,0.10868312418460846,4015,0.92383415,27.641881871056935,820,971,1411.6
36,ILSVRC2012_val_00000549.JPEG,True,1.751202580635436e-05,4.76837158203125e-07,3.045825591740936e-09,4181,1.0,146.90944536663758,691,485,1411.6
37,ILSVRC2012_val_00000559.JPEG,True,11.631369590759277,0.40786370635032654,0.08430969715118408,4165,0.9406581,30.463555841331544,812,540,1411.6
38,ILSVRC2012_val_00000575.JPEG,True,2.495415687561035,0.07366812229156494,0.0023374711163342,4179,0.98680854,43.83331492371501,600,517,1411.6
39,ILSVRC2012_val_00000589.JPEG,True,3.801154889515601e-05,4.76837158203125e-07,2.733862025650069e-09,4181,0.99999946,140.17786149054575,740,845,1411.6
40,ILSVRC2012_val_00000595.JPEG,True,3.6329410076141357,0.1335209310054779,0.012614774517714977,4045,0.9951293,40.57100603933233,833,693,1411.6
41,ILSVRC2012_val_00000596.JPEG,True,6.815210342407227,0.203183114528656,0.020628847181797028,4029,0.98463124,35.10658803547225,471,856,1411.6
42,ILSVRC2012_val_00000621.JPEG,True,3.6732897569891065e-05,5.364418029785156e-07,5.752245790802135e-09,4181,0.9999996,140.47506898347675,744,657,1411.6
43,ILSVRC2012_val_00000623.JPEG,True,3.819859266281128,0.20569485425949097,0.020049361512064934,4043,0.9865885,40.13522565998447,833,510,1411.6
44,ILSVRC2012_val_00000631.JPEG,True,15.899407386779785,0.4123586118221283,0.14968283474445343,4043,0.91625667,27.748554027123852,404,908,1411.6
45,ILSVRC2012_val_00000636.JPEG,True,6.390328407287598,0.18374012410640717,0.05291879549622536,4075,0.96633774,35.66570951128271,600,421,1411.6
46,ILSVRC2012_val_00000659.JPEG,True,2.3306078219320625e-05,5.364418029785156e-07,2.575140545246768e-09,4181,0.9999998,144.42678882650483,609,803,1411.6
47,ILSVRC2012_val_00000664.JPEG,True,2.8903077691211365e-05,5.364418029785156e-07,2.3222936906819314e-09,4181,0.99999994,142.5572910028601,628,536,1411.6
48,ILSVRC2012_val_00000667.JPEG,True,2.9812073989887722e-05,5.364418029785156e-07,5.3332138705286525e-09,4181,1.0000072,142.28832917133093,763,473,1411.6
49,ILSVRC2012_val_00000700.JPEG,True,9.780729293823242,0.3225415349006653,0.026799112558364868,4016,0.9465092,31.968748085399007,657,812,1411.6
50,ILSVRC2012_val_00000707.JPEG,True,3.3985157642746344e-05,4.76837158203125e-07,5.369446665071109e-09,4181,1.0,141.15038673092968,764,886,1411.6
51,ILSVRC2012_val_00000718.JPEG,True,19.082979202270508,0.4330090582370758,0.12314248830080032,4014,0.8490763,26.16324946079281,521,509,1411.6
52,ILSVRC2012_val_00000730.JPEG,True,3.6084107705391943e-05,4.76837158203125e-07,3.558672911907479e-09,4181,0.99999934,140.62985364155776,524,461,1411.6
53,ILSVRC2012_val_00000765.JPEG,True,23.513219833374023,0.8941176533699036,0.17719781398773193,4126,0.85059786,24.34993087465857,732,478,1411.6
54,ILSVRC2012_val_00000784.JPEG,True,7.214278697967529,0.20539134740829468,0.02095329575240612,4043,0.9664108,34.61231436924796,867,675,1411.6
55,ILSVRC2012_val_00000790.JPEG,True,0.8637094497680664,0.036286063492298126,0.000231430065468885,4065,0.9995694,53.0488198218596,413,764,1411.6
56,ILSVRC2012_val_00000823.JPEG,True,1.2792901992797852,0.040611863136291504,0.0014761408092454076,4134,0.99767184,49.63679136431119,524,461,1411.6
57,ILSVRC2012_val_00000835.JPEG,True,1.6654242277145386,0.060376763343811035,0.001022801036015153,4060,0.9981478,47.345674986983404,590,754,1411.6
58,ILSVRC2012_val_00000852.JPEG,True,27.686359405517578,0.827977180480957,0.15394635498523712,4028,0.8834823,22.930855593020066,581,971,1411.6
59,ILSVRC2012_val_00000868.JPEG,True,18.450735092163086,0.49803921580314636,0.1674932986497879,4029,0.8373809,26.455899691585458,628,832,1411.6
60,ILSVRC2012_val_00000887.JPEG,True,3.2438729249406606e-05,5.364418029785156e-07,5.038225392439699e-09,4181,0.9999997,141.55489621736928,587,902,1411.6
61,ILSVRC2012_val_00000894.JPEG,True,0.71551913022995,0.025686025619506836,0.000345324951922521,4145,0.99932057,54.683748112465224,764,413,1411.6
62,ILSVRC2012_val_00000917.JPEG,True,1.455438256263733,0.08976833522319794,0.0016943454975262284,4074,0.99623156,48.516297449201595,447,978,1411.6
63,ILSVRC2012_val_00000951.JPEG,True,16.090139389038086,0.4850136935710907,0.18955527245998383,4222,0.80272293,27.64497668164129,888,565,1411.6
64,ILSVRC2012_val_00000966.JPEG,True,4.526885095401667e-05,5.364418029785156e-07,3.2496640933743492e-09,4181,0.9999986,138.66018396614837,724,780,1411.6
65,ILSVRC2012_val_00000998.JPEG,True,3.7276276998454705e-05,5.960464477539062e-07,4.844719292407262e-09,4181,0.99999976,140.34752235170126,408,847,1411.6
66,ILSVRC2012_val_00000999.JPEG,True,1.9193873405456543,0.06002610921859741,0.001128852367401123,4045,0.9966543,46.11292026950708,633,721,1411.6
67,ILSVRC2012_val_00001008.JPEG,True,2.959873676300049,0.07184533774852753,0.0017663988983258605,4031,0.99016243,42.350709271328384,862,645,1411.6
68,ILSVRC2012_val_00001016.JPEG,True,14.637947082519531,0.4778338670730591,0.08885112404823303,4043,0.9224152,28.466569402167444,688,800,1411.6
69,ILSVRC2012_val_00001043.JPEG,True,3.7176843761699274e-05,5.364418029785156e-07,4.225357397302787e-09,4181,0.9999996,140.3707226717521,465,615,1411.6
70,ILSVRC2012_val_00001094.JPEG,True,6.176013469696045,0.22486037015914917,0.023118766024708748,4135,0.9686474,35.96200807298169,489,387,1411.6
71,ILSVRC2012_val_00001106.JPEG,True,21.061866760253906,0.8319784998893738,0.22617849707603455,4015,0.79925305,25.306235416225803,628,832,1411.6
72,ILSVRC2012_val_00001110.JPEG,True,9.189434051513672,0.3828820586204529,0.09440825879573822,4014,0.9695666,32.51039772068794,587,696,1411.6
73,ILSVRC2012_val_00001111.JPEG,True,7.590419769287109,0.20000000298023224,0.1900462508201599,4060,0.85244864,34.170857416509364,724,780,1411.6
74,ILSVRC2012_val_00001143.JPEG,True,8.129615783691406,0.26309293508529663,0.0209541954100132,4044,0.969438,33.57477260871042,734,468,1411.6
75,ILSVRC2012_val_00001157.JPEG,True,7.950129508972168,0.1873607337474823,0.027107680216431618,4029,0.9745803,33.7686889302013,764,877,1411.6
76,ILSVRC2012_val_00001169.JPEG,True,20.04926109313965,0.6196078062057495,0.13544528186321259,4210,0.87928224,25.734205013809923,771,865,1411.6
77,ILSVRC2012_val_00001173.JPEG,True,22.1671142578125,0.6669169664382935,0.26016390323638916,4014,0.6677839,24.861990129565633,787,577,1411.6
78,ILSVRC2012_val_00001182.JPEG,True,23.577499389648438,0.7545304894447327,0.1775648295879364,4028,0.79507923,24.3262180021506,724,611,1411.6
79,ILSVRC2012_val_00001196.JPEG,True,0.6077271103858948,0.032387807965278625,0.00013612497423309833,4207,0.9998004,56.102000356561355,830,701,1411.6
80,ILSVRC2012_val_00001211.JPEG,True,2.8976008892059326,0.1373685896396637,0.004403569269925356,4225,0.99484944,42.53540096459027,830,174,1411.6
81,ILSVRC2012_val_00001227.JPEG,True,16.9638671875,0.6481380462646484,0.17346632480621338,4015,0.8647601,27.185675823034007,646,509,1411.6
82,ILSVRC2012_val_00001229.JPEG,True,15.984879493713379,0.5843137502670288,0.15274883806705475,4221,0.8930752,27.701985897003066,635,577,1411.6
83,ILSVRC2012_val_00001235.JPEG,True,10.496331214904785,0.3209604024887085,0.029965601861476898,4059,0.93305856,31.355422138497772,830,450,1411.6
84,ILSVRC2012_val_00001253.JPEG,True,2.9282695322763175e-05,5.364418029785156e-07,4.351504934163586e-09,4181,1.0000023,142.44395183313407,745,732,1411.6
85,ILSVRC2012_val_00001278.JPEG,True,3.570273838704452e-05,5.364418029785156e-07,5.390046187159214e-09,4181,0.99999976,140.72214225182043,413,523,1411.6
86,ILSVRC2012_val_00001291.JPEG,True,6.710455417633057,0.24363648891448975,0.022374887019395828,4027,0.96888405,35.241133037741626,764,623,1411.6
87,ILSVRC2012_val_00001298.JPEG,False,inf,nan,nan,101,nan,nan,732,0,1411.6
88,ILSVRC2012_val_00001301.JPEG,True,3.7231802940368652,0.14024507999420166,0.009177884086966515,4058,0.9916069,40.35789107568071,820,716,1411.6
89,ILSVRC2012_val_00001339.JPEG,True,11.253912925720215,0.32901835441589355,0.06187429651618004,4028,0.95041305,30.750101444942967,510,839,1411.6
90,ILSVRC2012_val_00001346.JPEG,True,2.739671072049532e-05,4.76837158203125e-07,4.397154640400913e-09,4181,0.9999998,143.02220439363154,754,485,1411.6
