index,ori_filename,adv_filename,ori_recorded_label,adv_recorded_label,ori_fresh_pred,adv_fresh_pred,ori_matches_recorded,was_successful_attack,included_in_adv_accuracy,adv_accuracy_match
0,ori_0_IMAGENET_3599_resnet50.png,adv_0_IMAGENET_3599_resnet50.png,487,761,487,487,True,True,True,False
1,ori_1_IMAGENET_3599_resnet50.png,adv_1_IMAGENET_3599_resnet50.png,646,506,646,646,True,True,True,False
2,ori_2_IMAGENET_3599_resnet50.png,adv_2_IMAGENET_3599_resnet50.png,664,851,851,851,False,True,True,True
3,ori_3_IMAGENET_3599_resnet50.png,adv_3_IMAGENET_3599_resnet50.png,771,549,771,771,True,True,True,False
4,ori_4_IMAGENET_3599_resnet50.png,adv_4_IMAGENET_3599_resnet50.png,590,673,590,673,True,True,True,True
5,ori_5_IMAGENET_3599_resnet50.png,adv_5_IMAGENET_3599_resnet50.png,763,758,763,763,True,True,True,False
6,ori_6_IMAGENET_3599_resnet50.png,adv_6_IMAGENET_3599_resnet50.png,646,912,646,646,True,True,True,False
7,ori_7_IMAGENET_3599_resnet50.png,adv_7_IMAGENET_3599_resnet50.png,666,659,666,666,True,True,True,False
8,ori_8_IMAGENET_3599_resnet50.png,adv_8_IMAGENET_3599_resnet50.png,867,864,867,864,True,True,True,True
9,ori_9_IMAGENET_3599_resnet50.png,adv_9_IMAGENET_3599_resnet50.png,771,707,771,771,True,True,True,False
10,ori_10_IMAGENET_3599_resnet50.png,adv_10_IMAGENET_3599_resnet50.png,787,819,819,819,False,True,True,True
11,ori_11_IMAGENET_3599_resnet50.png,adv_11_IMAGENET_3599_resnet50.png,764,862,862,862,False,True,True,True
12,ori_12_IMAGENET_3599_resnet50.png,adv_12_IMAGENET_3599_resnet50.png,487,761,487,487,True,True,True,False
13,ori_13_IMAGENET_3599_resnet50.png,adv_13_IMAGENET_3599_resnet50.png,695,507,507,695,False,True,True,False
14,ori_14_IMAGENET_3599_resnet50.png,adv_14_IMAGENET_3599_resnet50.png,413,652,413,413,True,True,True,False
15,ori_15_IMAGENET_3599_resnet50.png,adv_15_IMAGENET_3599_resnet50.png,821,442,821,821,True,True,True,False
16,ori_16_IMAGENET_3599_resnet50.png,adv_16_IMAGENET_3599_resnet50.png,761,941,761,761,True,True,True,False
17,ori_17_IMAGENET_3599_resnet50.png,adv_17_IMAGENET_3599_resnet50.png,403,724,403,403,True,True,True,False
18,ori_18_IMAGENET_3599_resnet50.png,adv_18_IMAGENET_3599_resnet50.png,826,531,826,531,True,True,True,True
19,ori_19_IMAGENET_3599_resnet50.png,adv_19_IMAGENET_3599_resnet50.png,888,718,718,718,False,True,True,True
20,ori_20_IMAGENET_3599_resnet50.png,adv_20_IMAGENET_3599_resnet50.png,465,440,465,465,True,True,True,False
21,ori_21_IMAGENET_3599_resnet50.png,adv_21_IMAGENET_3599_resnet50.png,895,744,744,744,False,True,True,True
22,ori_22_IMAGENET_3599_resnet50.png,adv_22_IMAGENET_3599_resnet50.png,471,730,471,471,True,True,True,False
23,ori_23_IMAGENET_3599_resnet50.png,adv_23_IMAGENET_3599_resnet50.png,510,843,510,843,True,True,True,True
24,ori_24_IMAGENET_3599_resnet50.png,adv_24_IMAGENET_3599_resnet50.png,734,569,734,569,True,True,True,True
25,ori_25_IMAGENET_3599_resnet50.png,adv_25_IMAGENET_3599_resnet50.png,414,790,414,790,True,True,True,True
26,ori_26_IMAGENET_3599_resnet50.png,adv_26_IMAGENET_3599_resnet50.png,744,657,657,657,False,True,True,True
27,ori_27_IMAGENET_3599_resnet50.png,adv_27_IMAGENET_3599_resnet50.png,764,889,889,889,False,True,True,True
28,ori_28_IMAGENET_3599_resnet50.png,adv_28_IMAGENET_3599_resnet50.png,758,473,758,473,True,True,True,True
29,ori_29_IMAGENET_3599_resnet50.png,adv_29_IMAGENET_3599_resnet50.png,888,971,888,888,True,True,True,False
30,ori_30_IMAGENET_3599_resnet50.png,adv_30_IMAGENET_3599_resnet50.png,540,832,540,832,True,True,True,True
31,ori_31_IMAGENET_3599_resnet50.png,adv_31_IMAGENET_3599_resnet50.png,801,973,801,801,True,True,True,False
32,ori_32_IMAGENET_3599_resnet50.png,adv_32_IMAGENET_3599_resnet50.png,744,657,744,744,True,True,True,False
33,ori_33_IMAGENET_3599_resnet50.png,adv_33_IMAGENET_3599_resnet50.png,521,926,926,926,False,True,True,True
34,ori_34_IMAGENET_3599_resnet50.png,adv_34_IMAGENET_3599_resnet50.png,830,865,830,830,True,True,True,False
35,ori_35_IMAGENET_3599_resnet50.png,adv_35_IMAGENET_3599_resnet50.png,820,971,820,820,True,True,True,False
36,ori_36_IMAGENET_3599_resnet50.png,adv_36_IMAGENET_3599_resnet50.png,691,485,485,485,False,True,True,True
