filename,label
ori_0_IMAGENET_3599_resnet50.png,487
ori_1_IMAGENET_3599_resnet50.png,646
ori_2_IMAGENET_3599_resnet50.png,664
ori_3_IMAGENET_3599_resnet50.png,771
ori_4_IMAGENET_3599_resnet50.png,590
ori_5_IMAGENET_3599_resnet50.png,763
ori_6_IMAGENET_3599_resnet50.png,646
ori_7_IMAGENET_3599_resnet50.png,666
ori_8_IMAGENET_3599_resnet50.png,867
ori_9_IMAGENET_3599_resnet50.png,771
ori_10_IMAGENET_3599_resnet50.png,787
ori_11_IMAGENET_3599_resnet50.png,764
ori_12_IMAGENET_3599_resnet50.png,487
ori_13_IMAGENET_3599_resnet50.png,695
ori_14_IMAGENET_3599_resnet50.png,413
ori_15_IMAGENET_3599_resnet50.png,821
ori_16_IMAGENET_3599_resnet50.png,761
ori_17_IMAGENET_3599_resnet50.png,403
ori_18_IMAGENET_3599_resnet50.png,826
ori_19_IMAGENET_3599_resnet50.png,888
ori_20_IMAGENET_3599_resnet50.png,465
ori_21_IMAGENET_3599_resnet50.png,895
ori_22_IMAGENET_3599_resnet50.png,471
ori_23_IMAGENET_3599_resnet50.png,510
ori_24_IMAGENET_3599_resnet50.png,734
ori_25_IMAGENET_3599_resnet50.png,414
ori_26_IMAGENET_3599_resnet50.png,744
ori_27_IMAGENET_3599_resnet50.png,764
ori_28_IMAGENET_3599_resnet50.png,758
ori_29_IMAGENET_3599_resnet50.png,888
ori_30_IMAGENET_3599_resnet50.png,540
ori_31_IMAGENET_3599_resnet50.png,801
ori_32_IMAGENET_3599_resnet50.png,744
ori_33_IMAGENET_3599_resnet50.png,521
ori_34_IMAGENET_3599_resnet50.png,830
ori_35_IMAGENET_3599_resnet50.png,820
ori_36_IMAGENET_3599_resnet50.png,691
ori_37_IMAGENET_3599_resnet50.png,812
ori_38_IMAGENET_3599_resnet50.png,600
ori_39_IMAGENET_3599_resnet50.png,740
ori_40_IMAGENET_3599_resnet50.png,833
ori_41_IMAGENET_3599_resnet50.png,471
ori_42_IMAGENET_3599_resnet50.png,744
ori_43_IMAGENET_3599_resnet50.png,833
